Station_Name,Year,Month,Day,Sample_No,Radiation,Block
Bogura,2019,2,4,4,0.4,B15
Bogura,2019,2,5,4,2,B15
Bogura,2019,2,6,4,0.262,B15
Bogura,2019,2,7,4,2.9,B15
Bogura,2019,2,8,4,0.375,B15
Bogura,2019,2,9,4,2.9,B15
Bogura,2019,2,10,4,0.375,B15
Bogura,2019,2,11,4,0.5,B15
Bogura,2019,2,12,4,0.075,B15
Bogura,2019,2,13,4,1.9,B15
Bogura,2019,2,14,4,0.25,B15
Bogura,2019,2,15,4,1.2,B15
Bogura,2019,2,16,4,0.162,B15
Bogura,2019,2,17,4,2.5,B15
Bogura,2019,2,18,4,0.325,B15
Bogura,2019,2,19,4,2.5,B15
Bogura,2019,2,20,4,0.325,B15
Bogura,2019,2,21,4,2.8,B15
Bogura,2019,2,22,4,0.362,B15
Bogura,2019,2,23,4,3.7,B15
Bogura,2019,2,24,4,0.474,B15
Bogura,2019,2,25,4,2.8,B15
Bogura,2019,2,26,4,0.362,B15
Bogura,2019,2,27,4,3,B15
Bogura,2019,2,28,4,0.387,B15
Bogura,2019,2,1,5,2.1,B15
Bogura,2019,2,2,5,0.275,B15
Bogura,2019,2,3,5,3.7,B15
Bogura,2019,2,4,5,0.474,B15
Bogura,2019,2,5,5,3.2,B15
Bogura,2019,2,6,5,0.412,B15
Bogura,2019,2,7,5,4,B15
Bogura,2019,2,8,5,0.512,B15
Bogura,2019,2,9,5,3,B15
Bogura,2019,2,10,5,0.387,B15
Bogura,2019,2,11,5,3.9,B15
Bogura,2019,2,12,5,0.499,B15
Bogura,2019,2,13,5,3,B15
Bogura,2019,2,14,5,0.387,B15
Bogura,2019,2,15,5,1.6,B15
Bogura,2019,2,16,5,0.212,B15
Bogura,2019,2,17,5,2.3,B15
Bogura,2019,2,18,5,0.3,B15
Bogura,2019,2,19,5,3.9,B15
Bogura,2019,2,20,5,0.499,B15
Bogura,2019,2,21,5,3.6,B15
Bogura,2019,2,22,5,0.462,B15
Bogura,2019,2,23,5,4,B15
Bogura,2019,2,24,5,0.512,B15
Bogura,2019,2,25,5,3.4,B15
Bogura,2019,2,26,5,0.437,B15
Bogura,2019,2,27,5,3.7,B15
Bogura,2019,2,28,5,0.474,B15
Bogura,2019,2,1,6,2.3,B15
Bogura,2019,2,2,6,0.3,B15
Bogura,2019,2,3,6,4.2,B15
Bogura,2019,2,4,6,0.537,B15
Bogura,2019,2,5,6,4,B15
Bogura,2019,2,6,6,0.512,B15
Bogura,2019,2,7,6,4.2,B15
Bogura,2019,2,8,6,0.537,B15
Bogura,2019,2,9,6,3.8,B15
Bogura,2019,2,10,6,0.487,B15
Bogura,2019,2,11,6,4,B15
Bogura,2019,2,12,6,0.512,B15
Bogura,2019,2,13,6,3.9,B15
Bogura,2019,2,14,6,0.499,B15
Bogura,2019,2,15,6,1.4,B15
Bogura,2019,2,16,6,0.187,B15
Bogura,2019,2,17,6,2.3,B15
Bogura,2019,2,18,6,0.3,B15
Bogura,2019,2,19,6,5.1,B15
Bogura,2019,2,20,6,0.649,B15
Bogura,2019,2,21,6,4.8,B15
Bogura,2019,2,22,6,0.612,B15
Bogura,2019,2,23,6,4.7,B15
Bogura,2019,2,24,6,0.599,B15
Bogura,2019,2,25,6,4.6,B15
Bogura,2019,2,26,6,0.587,B15
Bogura,2019,2,27,6,4.4,B15
Bogura,2019,2,28,6,0.562,B15
Bogura,2019,2,1,7,1.9,B15
Bogura,2019,2,2,7,0.25,B15
Bogura,2019,2,3,7,4,B15
Bogura,2019,2,4,7,0.512,B15
Bogura,2019,2,5,7,3.6,B15
Bogura,2019,2,6,7,0.462,B15
Bogura,2019,2,7,7,4.3,B15
Bogura,2019,2,8,7,0.549,B15
Bogura,2019,2,9,7,3.4,B15
Bogura,2019,2,10,7,0.437,B15
Bogura,2019,2,11,7,4.1,B15
Bogura,2019,2,12,7,0.524,B15
Bogura,2019,2,13,7,4,B15
Bogura,2019,2,14,7,0.512,B15
Bogura,2019,2,15,7,1.6,B15
Bogura,2019,2,16,7,0.212,B15
Bogura,2019,2,17,7,2,B15
Bogura,2019,2,18,7,0.262,B15
Bogura,2019,2,19,7,4.6,B15
Bogura,2019,2,20,7,0.587,B15
Bogura,2019,2,21,7,4,B15
Bogura,2019,2,22,7,0.512,B15
Bogura,2019,2,23,7,4.5,B15
Bogura,2019,2,24,7,0.574,B15
Bogura,2019,2,25,7,4.6,B15
Bogura,2019,2,26,7,0.587,B15
Bogura,2019,2,27,7,4.2,B15
Bogura,2019,2,28,7,0.537,B15
Bogura,2019,2,1,8,1.7,B15
Bogura,2019,2,2,8,0.225,B15
Bogura,2019,2,3,8,2.7,B15
Bogura,2019,2,4,8,0.35,B15
Bogura,2019,2,5,8,3,B15
Bogura,2019,2,6,8,0.387,B15
Bogura,2019,2,7,8,4,B15
Bogura,2019,2,8,8,0.512,B15
Bogura,2019,2,9,8,3,B15
Bogura,2019,2,10,8,0.387,B15
Bogura,2019,2,11,8,3.6,B15
Bogura,2019,2,12,8,0.462,B15
