Station_Name,Year,Month,Type,Wind_Speed,Direction
Barisal,2022,5,Minimum,2,180
Barisal,2022,6,Maximum,5,210
Barisal,2022,6,Minimum,2,180
Barisal,2022,7,Maximum,3,120
Barisal,2022,7,Minimum,2,90
Barisal,2022,8,Maximum,4,90
Barisal,2022,8,Minimum,2,60
Barisal,2022,9,Maximum,2.5,190
Barisal,2022,9,Minimum,2,90
Barisal,2022,10,Maximum,7.5,60
Barisal,2022,10,Minimum,2,60
Barisal,2022,11,Maximum,1,320
Barisal,2022,11,Minimum,2,360
Barisal,2022,12,Maximum,1,300
Barisal,2022,12,Minimum,2,330
Barisal,2023,1,Maximum,1.5,320
Barisal,2023,1,Minimum,2,320
Barisal,2023,2,Maximum,3,320
Barisal,2023,2,Minimum,2,210
Barisal,2023,3,Maximum,2,320
Barisal,2023,3,Minimum,1,20
Barisal,2023,4,Maximum,3.5,180
Barisal,2023,4,Minimum,2,270
Barisal,2023,5,Maximum,5,180
Barisal,2023,5,Minimum,2,120
Barisal,2023,6,Maximum,4,180
Barisal,2023,6,Minimum,2,180
Barisal,2023,7,Maximum,4,90
Barisal,2023,7,Minimum,2,150
Barisal,2023,8,Maximum,6,140
Barisal,2023,8,Minimum,2,350
Barisal,2023,9,Maximum,5,210
Barisal,2023,9,Minimum,2,120
Barisal,2023,10,Maximum,2,180
Barisal,2023,10,Minimum,2,150
Barisal,2023,11,Maximum,4.5,350
Barisal,2023,11,Minimum,2,60
Barisal,2023,12,Minimum,2,360
Barisal,2024,1,Maximum,1.5,360
Barisal,2024,1,Minimum,1,320
Barisal,2024,2,Maximum,3.5,350
Barisal,2024,2,Minimum,1,180
Barisal,2024,3,Maximum,2,170
Barisal,2024,3,Minimum,1,350
Barisal,2024,4,Maximum,4,180
Barisal,2024,4,Minimum,1,270
Barisal,2024,5,Maximum,10,180
Barisal,2024,5,Minimum,2,230
Barisal,2024,6,Maximum,3.5,270
Barisal,2024,6,Minimum,2,180
Bhola,2011,1,Maximum,3,310
Bhola,2011,2,Maximum,4,270
Bhola,2011,3,Maximum,6,230
Bhola,2011,4,Maximum,5,310
Bhola,2011,5,Maximum,7,310
Bhola,2011,6,Maximum,6,130
Bhola,2011,7,Maximum,4,180
Bhola,2011,8,Maximum,4,130
Bhola,2011,9,Maximum,4,50
Bhola,2011,10,Maximum,4,90
Bhola,2011,11,Maximum,2,320
Bhola,2011,12,Maximum,3,340
Bhola,2012,1,Maximum,4,320
