Station_Name,Year,Month,Measure,Type,Value,Source_Organization,Source_File,Source_Sheet,Block
Rajshahi,2016,10,Temperature,Minimum,23.9,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rajshahi,2016,11,Temperature,Minimum,17.5,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rajshahi,2016,12,Temperature,Minimum,13.6,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Bogura,2011,1,Temperature,Minimum,10.1,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Bogura,2011,2,Temperature,Minimum,14.6,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Bogura,2011,3,Temperature,Minimum,20.1,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Bogura,2011,4,Temperature,Minimum,22.4,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Bogura,2011,5,Temperature,Minimum,23.6,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Bogura,2011,6,Temperature,Minimum,26.1,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Bogura,2011,7,Temperature,Minimum,26.5,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Bogura,2011,8,Temperature,Minimum,26.2,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Bogura,2011,9,Temperature,Minimum,26.1,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Bogura,2011,10,Temperature,Minimum,24.2,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Bogura,2011,11,Temperature,Minimum,18,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
